Name,Ticker,Exchange,BE - Monthly 2004-12,Daily Closing Price 2004-12-31 USD,Market Cap - Monthly 2004-12 ,C/P - Daily 2004-12-31,E/P - Daily 2004-12-31,EBITDA/P- Daily 2004-12-31,FCF/P - Daily 2004-12-31,S/P - Daily 2004-12-31,Yearly Return Year  2005
21st Century Insurance Group,TW,"NEW YORK STOCK EXCHANGE, INC.",774400338.5,13.60,1162532243,0.181591984,0.072794137,0.09762517,,1.161336326,0.202298471
3D Systems Corporation,DDD,"NEW YORK STOCK EXCHANGE, INC.",53065196.91,9.94,266546089,-0.003287668,-0.027162974,-0.010685906,-0.005724872,0.481346152,-0.094567217
3M Co,MMM,"NEW YORK STOCK EXCHANGE, INC.",10378010967,82.07,63894267160,0.064420994,0.043986844,0.067516292,0.051094626,0.299431948,-0.034989277
"3PAR, Inc.",PAR,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
7 Days Group Holdings Ltd ADR,SVN,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"7-Eleven, Inc.",SE,"NEW YORK STOCK EXCHANGE, INC.",464457580.2,23.95,2704339349,0.187733635,0.037995827,0.051891605,0.082927335,4.16181122,0.564509278
99 Cents Only Stores,NDN,"NEW YORK STOCK EXCHANGE, INC.",488284619.5,16.16,1123212402,0.074543644,0.027227725,0.071430357,0.009231181,0.822500995,-0.352722818
A.H. Belo Corporation,AHC,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
A.M. Castle & Co.,CAS,"NEW YORK STOCK EXCHANGE, INC.",119010356.4,11.94,188609457,0.083026137,0.041038521,0.177531254,0.050786737,3.51503733,0.829145498
A.O. Smith Corporation,AOS,"NEW YORK STOCK EXCHANGE, INC.",590598967.4,19.96,882857546,0.02826963,0.049098189,0.086149785,-0.023464914,1.801769337,0.198806011
"AAG Holding Company, Inc. 7 1/2 % Debs 2003-5.11.33 Sr",GFW,"NEW YORK STOCK EXCHANGE, INC.",,25.73,,,,,,,-0.013214175
Aames Investment Corporation,AIC,"NEW YORK STOCK EXCHANGE, INC.",357626747.7,10.70,599847350,,0.083177583,,,,-0.28031772
AAR Corporation,AIR,"NEW YORK STOCK EXCHANGE, INC.",311130278.2,13.62,439292833,-0.025113513,0.02643172,0.058743914,-0.053808165,1.559566066,0.758443129
"Aaron's, Inc.",AAN,"NEW YORK STOCK EXCHANGE, INC.",375178378.5,14.87,1109075509,-0.174751333,0.045959642,0.462461107,0.122037494,1.292101513,-0.130493342
"Aaron's, Inc.",AAN,"NEW YORK STOCK EXCHANGE, INC.",375178378.5,16.67,1243358200,-0.155878182,0.040996006,0.412515387,0.108857436,1.152554406,-0.154663725
"ABB, Ltd. ADR",ABB,"NEW YORK STOCK EXCHANGE, INC.",2823909588,5.66,11717982600,0.095129285,0.031802125,0.110889209,0.047659581,1.757898678,0.717314323
Abbott Laboratories,ABT,"NEW YORK STOCK EXCHANGE, INC.",14325828838,46.65,72652350934,0.057995759,0.042872454,0.052852726,0.041025927,0.266734666,-0.134598017
Abercrombie & Fitch Company A,ANF,"NEW YORK STOCK EXCHANGE, INC.",791461827.1,46.95,4091649446,0.080152032,0.045154412,0.073115289,0.053432418,0.416466242,0.40293197
"AbitibiBowater, Inc.",ABH,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Abitibi-Consolidated, Inc.",ABY,"NEW YORK STOCK EXCHANGE, INC.",2275176509,6.92,3046010958,0.016720909,0.049450041,0.305088076,-0.055096753,1.311905543,-0.404533784
"ABM Industries, Inc.",ABM,"NEW YORK STOCK EXCHANGE, INC.",442162155.1,19.72,971784956,0.034124673,0.030933062,0.05256659,0.022479341,2.447399271,0.013510602
"Abovenet, Inc.",ABVT,"NEW YORK STOCK EXCHANGE, INC.",,16.00,,,,,,,-0.10937515
Acadia Realty Trust,AKR,"NEW YORK STOCK EXCHANGE, INC.",216922664.7,16.30,477577351,0.046901455,0.018404909,0.077323434,0.022552933,0.153178907,0.278476087
Accenture PLC,ACN,"NEW YORK STOCK EXCHANGE, INC.",1754685879,27.00,25845026859,0.058533308,0.044814814,0.063772623,0.047710379,0.582299606,0.081451396
ACCO Brands Corp,ABD,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,-0.061302692
Accretive Health Inc,AH,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Accuride Corp,ACW,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.487889318
ACE Ltd,ACE,"NEW YORK STOCK EXCHANGE, INC.",9833523614,42.75,12149450435,0.448647776,0.10362574,0.147414091,,0.966546847,0.274494939
ACE Ltd Pref Share,ACEPRC,"NEW YORK STOCK EXCHANGE, INC.",,26.68,,,,,,,0.052124135
"Acorn International, Inc. ADR",ATV,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Action Performance Companies Inc.,ATN,"NEW YORK STOCK EXCHANGE, INC.",259960116.9,10.99,202972639,0.100156705,0.002729755,0.036598934,-0.025917499,1.74062283,0.181983748
Active Network Inc,ACTV,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Actuant Corp A,ATU,"NEW YORK STOCK EXCHANGE, INC.",64393966.26,26.08,1404376606,0.042995348,0.032023016,0.047619932,0.034255761,0.591257315,0.07181948
Acuity Brands Inc,AYI,"NEW YORK STOCK EXCHANGE, INC.",500649205.1,26.48,1147088734,0.078935258,0.058917242,0.119311126,0.030722117,1.831887669,0.022454565
Adecco SA ADR,ADO,"NEW YORK STOCK EXCHANGE, INC.",,12.65,9461680236,0.052108981,0.034932179,0.059816304,0.04486826,2.220411353,-0.070545984
Adecoagro SA,AGRO,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Adesa, Inc.",KAR,"NEW YORK STOCK EXCHANGE, INC.",1011403976,21.22,1945201559,0.395345987,0.384071775,0.72219843,0.348572456,2.766297643,0.165895176
ADS Tactical Inc,ADSI,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Advance America, Cash Advance Centers, Inc.",AEA,"NEW YORK STOCK EXCHANGE, INC.",,22.90,1572466536,0.12280141,0.05807862,,0.105417245,0.306830162,-0.443789649
Advance Auto Parts Inc,AAP,"NEW YORK STOCK EXCHANGE, INC.",722309517.5,29.17,3211784139,0.064355904,0.056548772,0.098086239,0.017301861,1.112962338,0.4900538
"Advanced Medical Optics, Inc.",EYE,"NEW YORK STOCK EXCHANGE, INC.",276268906,41.14,1510372326,0.034160811,-0.09795816,-0.06077339,0.022290868,0.525269673,0.016042745
Advanced Micro Devices Inc,AMD,"NEW YORK STOCK EXCHANGE, INC.",3010069385,22.02,8082841830,0.125986712,0.020435969,0.028062968,-0.002220368,0.559599908,0.389645724
"Advanced Semiconductor Engineering, Inc. ADR",ASX,"NEW YORK STOCK EXCHANGE, INC.",1616566291,2.36,3083379106,0.133985826,0.084222016,0.088459487,,0.784665748,0.319048927
Advantage Oil & Gas Ltd.,AAV,"NEW YORK STOCK EXCHANGE, INC.",450535379.4,18.36,912029015,0.120993922,0.058641602,0.110326311,0.008093483,0.234872342,0.061775597
Advantest Corp ADR,ATE,"NEW YORK STOCK EXCHANGE, INC.",2442999738,42.80,2103098696,0.069359816,0.050371617,0.084078337,0.06029014,0.301008892,0.193143032
Advertising Agencies,IG001DA001,"NEW YORK STOCK EXCHANGE, INC.",13307490871,346.54,35419569906,,,,,,-0.024423911
Advo Inc.,AD,"NEW YORK STOCK EXCHANGE, INC.",148854679.4,35.65,1103487070,0.084497069,0.044600288,0.074037549,0.019623457,1.139059843,-0.198099988
AECOM Technology Corporation,ACM,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Aegean Marine Petroleum Network, Inc.",ANW,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
AEGON/Transamerica,AEB,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
AEGON/Transamerica 6.375% Perpetual Capital Securities,AEH,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
AEGON/Transamerica 6.875% Perpetual Capital Securities,AEV,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
AEGON/Transamerica 7 1/4 % 2007-Perputual Cum.Subord,AEF,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
AEGON/Transamerica ADR,AEG,"NEW YORK STOCK EXCHANGE, INC.",19590848388,13.71,21287312076,0.277547413,0.048867567,,,1.913630214,0.240056521
AEGON/Transamerica Perp Capital Security 2005-Without fixed maturity,AED,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
AEI,AEI,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
AerCap Holdings N.V.,AER,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Aeroflex Holding Corp,ARX,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Aeropostale, Inc.",ARO,"NEW YORK STOCK EXCHANGE, INC.",209440589.4,13.08,1638348728,0.084772991,0.044964332,0.072932491,0.058150861,0.535683484,-0.106354133
Aerospace & Defense,IG001DA002,"NEW YORK STOCK EXCHANGE, INC.",64377786533,150.22,2.03747E+11,0.029460027,,0.022001426,0.022789883,0.308622353,
AES Corp,AES,"NEW YORK STOCK EXCHANGE, INC.",1644969018,13.67,8869104078,0.189305812,0.040965625,0.292275452,0.082036272,1.021776092,0.158010434
AES Trust III Pref Share,AESPRC,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Aetna Inc,AET,"NEW YORK STOCK EXCHANGE, INC.",9081382212,31.46,18419915612,0.067150824,0.058916895,0.097938109,0.058256929,0.969222344,0.499535955
Affiliated Computer Services,ACS,"NEW YORK STOCK EXCHANGE, INC.",2815942248,60.19,7736973797,0.06526955,0.065293245,0.129506653,0.035621758,0.501251374,-0.016780033
Affiliated Managers Group Inc,AMG,"NEW YORK STOCK EXCHANGE, INC.",707693153.7,67.74,2008460246,0.075877831,0.033460293,0.081122212,0.072523153,0.288334422,0.184676616
Aflac Inc,AFL,"NEW YORK STOCK EXCHANGE, INC.",7573011151,39.84,20158400488,0.208896963,0.046184747,0.072021722,,0.614194778,0.17727167
AFP Provida SA ADR,PVD,"NEW YORK STOCK EXCHANGE, INC.",309999699.3,28.50,629501559,0.167211218,0.086450374,0.131043153,,0.341004107,0.07260748
AG Mortgage Investment Trust Inc,MITT,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
AGCO Corp,AGCO,"NEW YORK STOCK EXCHANGE, INC.",1422404265,21.89,1976652596,0.132735528,0.075833697,0.158918818,-0.33239001,2.631724385,-0.24303345
"Agere Systems, Inc.",AGR.B,"NEW YORK STOCK EXCHANGE, INC.",,,233869248,,,,,,-0.103703728
"Agere Systems, Inc.",AGR,"NEW YORK STOCK EXCHANGE, INC.",364991939.7,13.70,2373339776,0.070775616,-0.03649635,-0.042635923,0.029418791,0.815198562,-0.058394192
Agilent Technologies Inc,A,"NEW YORK STOCK EXCHANGE, INC.",3568983325,22.71,11055158193,0.059585381,0.031266601,0.034690736,0.048980447,0.645373639,0.381328084
"AGL Resources, Inc.",GAS,"NEW YORK STOCK EXCHANGE, INC.",1384999776,33.24,2172671704,0.126912476,0.065583619,0.169032702,0.028601288,0.682522576,0.08599403
Agnico-Eagle Mines,AEM,"NEW YORK STOCK EXCHANGE, INC.",470224199,13.75,1183500711,0.036895141,0.029818178,0.054141881,-0.00282739,0.156084794,0.440053974
Agree Realty Corporation,ADC,"NEW YORK STOCK EXCHANGE, INC.",97631701.75,31.69,205599839,0.08493853,0.06248028,0.108559634,-0.015039159,0.143018918,-0.023795458
Agria Corporation ADR,GRO,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Agricultural Inputs,IG001DA003,"NEW YORK STOCK EXCHANGE, INC.",18618820621,53.86,48124809156,0.018107216,,0.01458284,0.014352684,0.158450732,0.231879646
Agrium Inc,AGU,"NEW YORK STOCK EXCHANGE, INC.",953995351.9,16.85,2222028624,0.151494608,0.020771512,0.135448442,0.113738923,1.300210894,0.311978117
Air Lease Corp,AL,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Air Products & Chemicals Inc,APD,"NEW YORK STOCK EXCHANGE, INC.",4740797526,57.97,13177153569,0.081835337,0.045540804,0.074306682,0.028667604,0.558535966,0.043250815
Aircastle Ltd,AYR,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Airgas Inc,ARG,"NEW YORK STOCK EXCHANGE, INC.",780767081.7,26.51,1988408105,0.120114868,0.043379864,0.141807403,0.061809243,1.053201416,0.251204606
Airlines,IG001DA004,"NEW YORK STOCK EXCHANGE, INC.",-1591456915,333.26,38527614802,0.003512922,,0.003400964,-0.0014351,0.078403455,0.260613781
Airports & Air Services,IG001DA005,"NEW YORK STOCK EXCHANGE, INC.",75079236560,14.31,1480870505,,,,,,0.341995123
Airtouch Communications,ATI,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0
AirTran Holdings Inc,AAI,"NEW YORK STOCK EXCHANGE, INC.",334039152,10.70,917289600,0.072031267,0.113084115,0.061396701,-0.020973462,1.080048905,0.498130671
AK Steel Holding Corporation,AKS,"NEW YORK STOCK EXCHANGE, INC.",197396919.1,14.47,1573564025,0.06468025,-0.048375947,0.0348816,0.02344501,3.009664031,-0.450587483
Alabama Power Co,ALZ,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Alabama Power Co 5 5/8 % Notes 2004-15.4.34 Sr Series AA,ALF,"NEW YORK STOCK EXCHANGE, INC.",,24.98,,,,,,,-0.014771802
Alabama Power Co 5 7/8 % Notes 2006-1.2.46 Sr Series GG,ALQ,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Alabama Power Co 5 7/8 % Notes 2007-1.4.47 Sr Series 2007B,ALM,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Alabama Power Co 6 3/8 % Notes 2006-15.6.46 Sr Series JJ,ABA,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Alabama Power Co Pref Share,ALP.PRO,"NEW YORK STOCK EXCHANGE, INC.",,25.65,,,,,,,0.007305521
Alabama Power Co Pref Share,ALPPRN,"NEW YORK STOCK EXCHANGE, INC.",,24.25,,,,,,,0.049289779
Alabama Power Co Pref Share,ALPPRP,"NEW YORK STOCK EXCHANGE, INC.",,24.59,,,,,,,0.01472081
Alamo Group Inc.,ALG,"NEW YORK STOCK EXCHANGE, INC.",160831834.8,27.16,264485682,0.069229736,0.047864501,0.082736048,0.052203755,1.215493655,-0.236474062
"Alaris Medical Systems, Inc.",AMI,"NEW YORK STOCK EXCHANGE, INC.",107991764.1,22.07,1594552909,0.079400684,,0.068116921,0.053237052,0.35876872,0
"Alaska Air Group, Inc.",ALK,"NEW YORK STOCK EXCHANGE, INC.",664799073,33.49,908450409,0.406317258,0.020603166,0.249981626,0.192950775,2.978255755,0.066587031
Albany International Corporation,AIN,"NEW YORK STOCK EXCHANGE, INC.",550775956.5,35.16,1104347331,0.098716293,0.007110353,0.036766436,0.044373841,0.774497351,0.038776901
Albemarle Corp,ALB,"NEW YORK STOCK EXCHANGE, INC.",,19.36,1612677645,0.105740034,0.032808065,0.059724313,0.076279978,0.829406783,0.00730317
Alberto Culver Co,ACV,"NEW YORK STOCK EXCHANGE, INC.",1391276238,41.81,3811630032,0.067547395,0.036833281,0.064242497,0.048083627,0.848547795,-0.046941591
Albertson's Inc.,ABS,"NEW YORK STOCK EXCHANGE, INC.",5327991626,23.88,8789198676,0.220096675,0.047319941,0.126448131,0.11242348,4.237485646,-0.074804305
"Alcan, Inc.",AL,"NEW YORK STOCK EXCHANGE, INC.",10566005197,43.86,16186980764,0.13648948,0.045367502,0.16162392,0.064904088,1.403201545,-0.050295782
Alcatel-Lucent ADR,ALU,"NEW YORK STOCK EXCHANGE, INC.",4562044654,15.63,20404268855,-0.002780286,-0.008652937,0.083917539,-0.022740126,0.718768778,-0.206653995
Alcoa Inc,AA,"NEW YORK STOCK EXCHANGE, INC.",13245029743,31.42,27350440628,0.076906394,0.04996817,0.132537701,0.042406321,0.836662553,-0.038695662
Alcon Inc,ACL,"NEW YORK STOCK EXCHANGE, INC.",2187905147,80.60,24635748992,0.044176812,0.032630271,0.047350234,0.037562847,0.151997606,0.623427128
Alere Inc,ALR,"NEW YORK STOCK EXCHANGE, INC.",274681143.5,25.10,510537062,0.014596326,-0.014741035,0.025732342,-0.021296959,0.734142701,-0.055378382
Alere Inc Pref Share,ALRPRB,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Aleris International Inc,ARS,"NEW YORK STOCK EXCHANGE, INC.",282669733.1,16.92,264307252,0.081176145,0.015957449,0.114260851,-0.030936,4.145249544,0.905437515
Alexander & Alexander,AAL,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0
"Alexander & Baldwin, Inc.",ALEX,"NEW YORK STOCK EXCHANGE, INC.",903998837.9,42.42,1809729760,0.08065739,0.054455435,0.136544272,0.001781254,0.797778983,0.302862448
Alexander's Inc.,ALX,"NEW YORK STOCK EXCHANGE, INC.",18368084.97,215.00,1077762750,0.001273293,-0.038837214,,,0.095527681,0.141860232
Alexandria Real Estate Equities Inc,ARE,"NEW YORK STOCK EXCHANGE, INC.",433334222.1,74.42,1453817844,0.052160868,0.038027412,,,0.099689269,0.121643542
Alexandria Real Estate Equities Inc Pref Share,AREPRC,"NEW YORK STOCK EXCHANGE, INC.",,26.47,,,,,,,0.057179543
Alexandria Real Estate Equities Inc Pref Share,AREPRB,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Alleghany Corp DEL,Y,"NEW YORK STOCK EXCHANGE, INC.",1756099787,248.33,2189636143,0.226692292,0.061682476,0.118050556,,0.637352692,0.015529609
Allegheny Energy Inc,AYE,"NEW YORK STOCK EXCHANGE, INC.",1353814366,19.71,2705350252,0.14659556,0.01369863,0.626416877,0.048617962,1.116675879,0.605783603
Allegheny Technologies Inc,ATI,"NEW YORK STOCK EXCHANGE, INC.",425902556.6,21.67,2069537268,0.021249835,-0.141209052,-0.069947386,-0.013281146,1.349862854,0.681547035
"Allergan, Inc.",AGN,"NEW YORK STOCK EXCHANGE, INC.",1116203239,40.54,10643448196,0.048490373,0.016035524,0.030593998,0.038055501,0.184087614,0.33797172
"ALLETE, Inc.",ALE,"NEW YORK STOCK EXCHANGE, INC.",630498619.8,36.75,1086037359,0.097004031,0.05007075,0.175813789,0.024897379,0.930396135,0.231027823
Alliance Data Systems Corporation,ADS,"NEW YORK STOCK EXCHANGE, INC.",870523294,47.48,3877813053,0.080952782,0.028011793,0.069099141,0.067704899,0.307271771,-0.250210646
Alliance HealthCare Services Inc,AIQ,"NEW YORK STOCK EXCHANGE, INC.",-67526599.63,11.25,548818267,0.256224592,0.055111115,0.304640745,0.091825847,0.782902046,-0.471111089
Alliance One International Inc,AOI,"NEW YORK STOCK EXCHANGE, INC.",425371842.5,6.72,303340490,,-0.10565477,,,,-0.40030988
AllianceBernstein Holding L.P.,AB,"NEW YORK STOCK EXCHANGE, INC.",1295668634,42.00,3361921752,0.015407846,0.041904756,,,0.049362313,0.425715563
Alliant Energy Corporation,LNT,"NEW YORK STOCK EXCHANGE, INC.",2561399494,28.60,3304256412,0.171518643,0.062587427,0.224071007,-0.031258147,0.933037747,0.018669916
Alliant Techsystems Inc,ATK,"NEW YORK STOCK EXCHANGE, INC.",670284739,65.38,2463445435,0.060598275,0.05934535,0.102723762,0.035129406,1.013914969,0.165034954
Allianz SE 8 3/8 % Bonds 2008-Without Fixed Maturity Subord,AZM,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Allied Capital Corporation,ALD,"NEW YORK STOCK EXCHANGE, INC.",1979775202,25.84,3435249445,-0.030644869,0.083978357,0.082261872,,0.081170347,0.233256983
Allied Waste Industries,AW,"NEW YORK STOCK EXCHANGE, INC.",2604902706,9.28,2953353912,0.218686595,-0.25431037,0.544242271,0.031293527,1.930956712,-0.058189727
Allied Waste Industries Pref Share,AWPRD,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Allied World Assurance Company Holdings AG,AWH,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Allis Chalmers Energy Inc,ALY,"NEW YORK STOCK EXCHANGE, INC.",35109282.05,4.90,63906196,0.014593463,,0.119016448,-0.08008008,1.327055476,1.54489809
Allstate Corp,ALL,"NEW YORK STOCK EXCHANGE, INC.",21822987479,51.72,35490892501,0.155387213,0.076952852,0.120417541,,0.91456416,0.069492905
Alltel Corp,AT,"NEW YORK STOCK EXCHANGE, INC.",7128704085,48.10,14610997470,0.164789305,0.067774279,0.215824466,0.092115638,0.542138237,0.106606631
Alltel Corp Pref Share,ATPR,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Ally Financial Inc 7 3/8 % Notes 2006-16.12.44 Global,GOM,"NEW YORK STOCK EXCHANGE, INC.",,25.07,,,,,,,-0.178300659
Ally Financial Inc 7.3 % Public Income Notes 2001-9.3.31,GMA,"NEW YORK STOCK EXCHANGE, INC.",,25.20,,,,,,,-0.185317448
Ally Financial Inc Pref Share,ALLYPRB,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
Alon Holdings Blue Square - Israel Ltd. ADR,BSI,"NEW YORK STOCK EXCHANGE, INC.",189013471,9.76,378515599,0.159726293,0.04647892,0.128761427,,3.255939648,0.107093209
Alon USA Energy Inc,ALJ,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.107042334
Alpha Natural Resources Inc,ANR,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,-0.261153866
Alpha Natural Resources Inc,FCL,"NEW YORK STOCK EXCHANGE, INC.",,23.06,3162517,,8.223819471,,,,0.657552355
Altria Group Inc.,MO,"NEW YORK STOCK EXCHANGE, INC.",30713977993,14.25,29027937910,0.365210621,0.328096584,0.533727295,0.32391612,2.159272239,0.325449295
Alumina Ltd ADR,AWC,"NEW YORK STOCK EXCHANGE, INC.",1116557528,18.54,5391019670,0.036753653,0.045993971,,,,0.211662073
Aluminum,IG001DA006,"NEW YORK STOCK EXCHANGE, INC.",16121052837,86.11,40831346786,,,,,,0.050121832
"Aluminum Corp of China, Ltd. ADR",ACH,"NEW YORK STOCK EXCHANGE, INC.",3280443032,14.64,6469702485,0.122968333,0.109359464,,,0.562635384,0.358207834
Alza Corporation,AZA,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0
Ambac Financial Group Inc 5 7/8 % Debs 2003-24.3.2103 Sr,AKT,"NEW YORK STOCK EXCHANGE, INC.",,25.14,,,,,,,-0.04892592
Ambac Financial Group Inc Pref Share,ABKpZ,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"Ambassador Apartments, Inc.",AAH,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0
Ambow Education Holding Ltd. ADR,AMBO,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
AMCOL International Corporation,ACO,"NEW YORK STOCK EXCHANGE, INC.",221932580.2,20.09,589843304,0.047354718,0.042309614,0.059427099,0.018576788,0.706521048,0.040781681
Amdocs Ltd.,DOX,"NEW YORK STOCK EXCHANGE, INC.",1519528528,26.25,5285018996,0.061252741,0.041904756,0.059025152,0.051622442,0.315460697,0.047619103
"Amerco, Inc. Pref Share",AOPRA,"NEW YORK STOCK EXCHANGE, INC.",,25.25,,,,,,,0.081160174
Ameren Corp,AEE,"NEW YORK STOCK EXCHANGE, INC.",5799997698,50.14,9740940577,0.102406858,0.053250887,0.172692662,0.016004571,0.529605756,0.072626153
"Ameresco, Inc.",AMRC,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"America Movil, S.A.B. de C.V. ADR",AMX,"NEW YORK STOCK EXCHANGE, INC.",13625549280,8.73,32101020000,0.08008117,0.054734028,0.149111697,,0.332265984,0.676790701
America West Holdings Corporation,AWA,"NEW YORK STOCK EXCHANGE, INC.",36448489.62,6.58,236753269,0.615784402,-0.153495452,-0.005984491,0.040176471,8.301235224,0.322188671
"American Assets Trust, Inc.",AAT,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"American Axle & Mfg Holdings, Inc.",AXL,"NEW YORK STOCK EXCHANGE, INC.",955499868.1,30.66,1521629371,0.240680143,0.109589041,0.198153919,0.110990329,2.201770223,-0.386005615
"American Campus Communities, Inc.",ACC,"NEW YORK STOCK EXCHANGE, INC.",138228862.5,22.49,283711350,,,,,,0.170604457
American Eagle Outfitters,AEO,"NEW YORK STOCK EXCHANGE, INC.",820451877.6,15.70,3471899538,0.082388068,0.042464973,0.089280214,0.056841564,0.520594185,-0.013826625
American Electric Power Co Inc,AEP,"NEW YORK STOCK EXCHANGE, INC.",8515016883,34.34,13588571683,0.222067269,0.049213737,0.20874029,0.115230526,0.968083263,0.123742503
American Electric Power Co Inc 8 3/4 % Debs 2008-1.3.63 Jr Subord Extendibl,AEPPRA,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
American Equity Investment Life Holding Company,AEL,"NEW YORK STOCK EXCHANGE, INC.",321503348.9,10.77,412036635,0.30688826,0.098421516,0.336040814,,1.105633312,0.215820592
American Express Co,AXP,"NEW YORK STOCK EXCHANGE, INC.",16019963397,49.77,61957330820,0.125831431,0.053280933,,,0.429510461,0.04341704
American Financial Group Inc,AFG,"NEW YORK STOCK EXCHANGE, INC.",2430544446,20.87,2310429382,0.393627331,0.216865265,0.355114645,,1.651298581,0.242561306
American Financial Group Inc 7 1/8 % Debs 2004-3.2.34 Sr,AFE,"NEW YORK STOCK EXCHANGE, INC.",,25.84,,,,,,,-0.020897976
American Financial Realty Trust,AFR,"NEW YORK STOCK EXCHANGE, INC.",869954485,16.18,1794498089,0.044368427,-0.021631645,0.076627589,-0.845914192,0.160791842,-0.19915915
American General Corp.,AGC,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0
American Greetings Corporation,AM,"NEW YORK STOCK EXCHANGE, INC.",1384502634,25.35,1736854590,0.18753113,0.050887581,0.075983396,0.170588613,0.94079661,-0.122620423
American International Group Inc,AIG,"NEW YORK STOCK EXCHANGE, INC.",80606999421,"1,100.25",1.43284E+11,0.248909094,0.063194747,0.131568024,,0.656982741,0.048548498
American International Group Inc,AIGWS,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
American International Group Inc Debs 2007-15.6.77 Jr Subord Series A4 Fltg,AFF,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
American International Group Inc Debs 2007-18.12.62 Jr Subord Series A-5 Fl,AVF,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
American International Group Inc Market Index Target-Term Securities 2007-5,NOW,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
American International Group Inc Pref Share,AIGPRA,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"American Medical Security Group, Inc.",AMZ,"NEW YORK STOCK EXCHANGE, INC.",,,,0.050499261,,0.110486103,0.026254437,1.544356227,0
American Midstream Partners LP,AMID,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,
"American Oriental Bioengineering, Inc.",AOB,"NEW YORK STOCK EXCHANGE, INC.",33138916.18,1.55,61607581,0.113339119,0.10967742,0.150127721,0.110685979,0.473441584,1.845160967
"American Realty Investors, Inc.",ARL,"NEW YORK STOCK EXCHANGE, INC.",97769595.52,9.70,101703530,0.041779803,-0.54432996,0.111684911,-1.918973273,2.714529246,-0.173196071
American Reprographics Co,ARC,"NEW YORK STOCK EXCHANGE, INC.",,,,,,,,,0.758477636
American Retirement Corporation,ACR,"NEW YORK STOCK EXCHANGE, INC.",5701833.056,11.79,299174952,0.118288349,-0.082273107,0.196610823,0.051086325,1.624798322,1.131467509
